model,fuel_type,city_efficiency,highway_efficiency,electric_range,displacement,year
아반떼(PE) 1.6 가솔린 17인치 타이어,gasoline,12.9,16.4,,1598.0,2023
코나(SX2) 1.6GDI 하이브리드 17인치(빌트인캠),gasoline,19.4,18.2,,1580.0,2023
코나(SX2) 1.6GDI 하이브리드 18인치,gasoline,18.6,17.5,,1580.0,2023
코나(SX2) 1.6GDI 하이브리드 17인치,gasoline,20.8,18.6,,1580.0,2023
코나(SX2) 2.0 가솔린 2WD 18/19인치,gasoline,11.8,14.7,,1999.0,2023
코나(SX2) 2.0 가솔린 2WD 17인치,gasoline,12.6,15.0,,1999.0,2023
코나(SX2) 1.6T-GDI 4WD 18/19인치,gasoline,10.0,13.1,,1598.0,2023
코나(SX2) 1.6T-GDI 4WD 17인치,gasoline,10.3,14.0,,1598.0,2023
코나(SX2) 1.6T-GDI 2WD 17인치,gasoline,11.5,15.5,,1598.0,2023
코나(SX2) 1.6T-GDI 2WD 18/19인치,gasoline,10.8,14.3,,1598.0,2023
G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD5인20인치(HDP),gasoline,7.0,9.9,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(HDP),gasoline,7.6,10.8,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 5인 21인치(HDP),gasoline,7.3,10.4,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 5인 20인치(HDP),gasoline,7.1,10.0,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 4인 20인치(HDP),gasoline,7.1,10.0,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 5인 21인치(HDP),gasoline,7.1,10.0,,3470.0,2023
G90 3.5T-GDI 2WD 4인 19인치(HDP),gasoline,7.7,10.6,,3470.0,2023
G90 3.5T-GDI 2WD 5인 20인치(HDP),gasoline,7.7,10.6,,3470.0,2023
G90 3.5T-GDI AWD 5인 19인치(HDP),gasoline,7.0,9.7,,3470.0,2023
G90 3.5T-GDI AWD 4인 19인치(HDP),gasoline,7.0,9.7,,3470.0,2023
G90 3.5T-GDI AWD 5인 20인치(HDP),gasoline,7.0,9.7,,3470.0,2023
G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD4인20인치(HDP),gasoline,7.0,9.9,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(HDP),gasoline,7.6,10.8,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 4인 21인치(HDP),gasoline,7.3,10.4,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 4인 21인치(HDP),gasoline,7.1,10.0,,3470.0,2023
G90 3.5T-GDI 2WD 5인 19인치(HDP),gasoline,7.9,11.3,,3470.0,2023
G90 3.5T-GDI 2WD 4인 20인치(HDP),gasoline,7.7,10.6,,3470.0,2023
G90 3.5T-GDI AWD 4인 20인치(HDP),gasoline,7.0,9.7,,3470.0,2023
그랜저 1.6T-GDI 하이브리드 6AT 20인치,gasoline,15.4,15.9,,1598.0,2023
그랜저 1.6T-GDI 하이브리드 6AT 19인치,gasoline,16.6,16.8,,1598.0,2023
그랜저 1.6T-GDI 하이브리드 6AT 18인치,gasoline,18.0,17.9,,1598.0,2023
그랜저(GN7) 2.5 GDI 20인치,gasoline,9.6,13.8,,2497.0,2022
그랜저(GN7) 2.5 GDI 19인치,gasoline,9.8,14.2,,2497.0,2022
그랜저(GN7) 2.5 GDI 18인치,gasoline,10.0,14.5,,2497.0,2022
그랜저(GN7) 3.5 GDI AWD 20인치,gasoline,7.7,11.2,,3470.0,2022
그랜저(GN7) 3.5 GDI AWD 19인치,gasoline,7.9,11.5,,3470.0,2022
그랜저(GN7) 3.5 GDI AWD 18인치,gasoline,8.2,11.7,,3470.0,2022
그랜저(GN7) 3.5 GDI 2WD 20인치,gasoline,8.3,12.2,,3470.0,2022
그랜저(GN7) 3.5 GDI 2WD 19인치,gasoline,8.5,13.0,,3470.0,2022
그랜저(GN7) 3.5 GDI 2WD 18인치,gasoline,8.7,13.4,,3470.0,2022
아이오닉6 항속형 AWD 20인치,electric,5.2,4.4,420.0,,2022
아이오닉6 항속형 AWD 18인치,electric,5.9,5.2,484.0,,2022
아이오닉6 항속형 RWD 20인치,electric,5.7,4.6,452.0,,2022
아이오닉6 항속형 RWD 18인치,electric,6.5,5.5,524.0,,2022
아이오닉6 기본형 RWD 18인치,electric,6.8,5.5,367.0,,2022
쏘나타(DN8) 1.6 T-GDI 19인치 23MY,gasoline,11.2,14.1,,1598.0,2022
쏘나타(DN8) 2.0CVVL_19인치타이어_23MY,gasoline,10.5,13.5,,1999.0,2022
투싼 1.6T-GDI HEV 6AT 4WD 17/18인치,gasoline,16.0,14.6,,1598.0,2022
투싼 1.6T-GDI HEV 6AT 4WD 19인치,gasoline,15.6,14.6,,1598.0,2022
투싼 1.6T-GDI HEV 6AT 4WD 17/18인치 빌트인캠,gasoline,15.2,14.6,,1598.0,2022
투싼 1.6T-GDI HEV 6AT 4WD 19인치 빌트인캠,gasoline,14.9,14.5,,1598.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌)_SP,gasoline,8.4,10.8,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머)_SP,gasoline,8.3,10.5,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌)_SP,gasoline,9.1,11.9,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머)_SP,gasoline,8.9,11.4,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌),gasoline,8.4,10.8,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머),gasoline,8.3,10.5,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌),gasoline,9.1,11.9,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머),gasoline,8.9,11.4,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 18인치타이어,gasoline,8.7,11.3,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI AWD 18인치(빌트인캠),gasoline,8.6,11.0,,1998.0,2022
G70 슈팅브레이크 2.0T-GDI 2WD 18인치타이어,gasoline,9.2,12.2,,1998.0,2022
G70 슈팅브레이크2.0T-GDI 2WD 18인치(빌트인캠),gasoline,9.0,12.1,,1998.0,2022
팰리세이드(PE) 2.2 디젤 AWD 7인 20인치,diesel,10.4,12.8,,2199.0,2022
팰리세이드(PE) 2.2 디젤 AWD 7인 18인치,diesel,10.7,13.2,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 7인 20인치,diesel,11.0,13.5,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 7인 18인치,diesel,11.3,14.1,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 7인 18인치(빌트인캠),diesel,11.0,13.9,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 8인 18인치(빌트인캠),diesel,11.0,13.9,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 8인 18인치,diesel,11.3,14.1,,2199.0,2022
팰리세이드(PE) 2.2 디젤 2WD 8인 20인치,diesel,11.0,13.5,,2199.0,2022
팰리세이드(PE) 2.2 디젤 AWD 8인 18인치,diesel,10.7,13.2,,2199.0,2022
팰리세이드(PE) 2.2 디젤 AWD 8인 20인치,diesel,10.4,12.8,,2199.0,2022
팰리세이드(PE) 3.8GDI AWD 7인 20인치,gasoline,7.6,10.0,,3778.0,2022
팰리세이드(PE) 3.8GDI AWD 7인 18인치,gasoline,7.7,10.3,,3778.0,2022
팰리세이드(PE) 3.8GDI 2WD 7인 20인치,gasoline,8.0,10.7,,3778.0,2022
팰리세이드(PE) 3.8GDI 2WD 7인 18인치,gasoline,8.3,10.9,,3778.0,2022
팰리세이드(PE) 3.8GDI AWD 8인 20인치,gasoline,7.6,10.0,,3778.0,2022
팰리세이드(PE) 3.8GDI AWD 8인 18인치,gasoline,7.7,10.3,,3778.0,2022
팰리세이드(PE) 3.8GDI 2WD 8인 20인치,gasoline,8.0,10.7,,3778.0,2022
팰리세이드(PE) 3.8GDI 2WD 8인 18인치,gasoline,8.3,10.9,,3778.0,2022
아반떼 1.6 T-GDI 6MT 18인치 타이어(22MY),gasoline,11.1,14.0,,1598.0,2022
아반떼 1.6 T-GDI 7DCT 18인치 타이어(22MY),gasoline,11.5,14.7,,1598.0,2022
아반떼 1.6GDI 하이브리드 (17“타이어)(22MY),gasoline,20.3,18.6,,1580.0,2022
아반떼 1.6GDI 하이브리드 (16“타이어)(22MY),gasoline,21.4,20.7,,1580.0,2022
아반떼 1.6 가솔린 16인치 타이어(22MY),gasoline,13.3,17.3,,1598.0,2022
아반떼 1.6 가솔린 15인치 타이어(22MY),gasoline,13.8,17.7,,1598.0,2022
포터2.5디젤 덤프4X4장축 슈퍼캡(MT)(22),diesel,8.5,9.2,,2497.0,2022
GV70 Electrified 무선충전,electric,4.6,3.8,367.0,,2022
아이오닉5 항속형 4WD 19인치 (77.4kWh),electric,5.3,4.2,417.0,,2022
아이오닉5 항속형 4WD 20인치 (77.4kWh),electric,4.9,3.9,387.0,,2022
G90 e-S/C 3.5T-GDI(LONG WHEEL BASE) AWD 5인 20인치,gasoline,7.1,10.0,,3470.0,2022
아이오닉5 항속형 RWD 19인치 (77.4kWh),electric,5.9,4.5,458.0,,2022
아이오닉5 항속형 RWD 19인치 빌트인캠 (77.4kWh),electric,5.8,4.4,450.0,,2022
아이오닉5 항속형 RWD 20인치 (77.4kWh),electric,5.4,4.2,420.0,,2022
G90 e-S/C 3.5T-GDI(LONG WHEEL BASE) AWD 4인 20인치,gasoline,7.1,10.0,,3470.0,2022
캐스퍼 1.0 가솔린 15인치타이어_밴형,gasoline,13.4,15.5,,998.0,2022
캐스퍼 1.0T-GDI 4AT 15인치_밴형,gasoline,11.3,15.2,,998.0,2022
GV70 2.2디젤 AWD 21인치(22),diesel,11.0,13.6,,2151.0,2022
GV70 2.2디젤 AWD 19인치(22),diesel,11.1,14.0,,2151.0,2022
GV70 2.2디젤 2WD 21인치(22),diesel,11.6,14.2,,2151.0,2022
GV70 2.2디젤 2WD 19인치(22),diesel,12.0,15.0,,2151.0,2022
GV70 2.2디젤 AWD 21인치 (스포츠패키지)(22),diesel,11.0,13.6,,2151.0,2022
GV70 2.2디젤 AWD 19인치 (스포츠패키지)(22),diesel,11.1,14.0,,2151.0,2022
GV70 2.2디젤 AWD 18인치(빌트인캠)(22),diesel,11.5,14.9,,2151.0,2022
GV70 2.2디젤 AWD 18인치(22),diesel,11.6,15.1,,2151.0,2022
GV70 2.2디젤 2WD 21인치 (스포츠패키지)(22),diesel,11.6,14.2,,2151.0,2022
GV70 2.2디젤 2WD 19인치 (스포츠패키지)(22),diesel,12.0,15.0,,2151.0,2022
GV70 2.2디젤 2WD 18인치 (빌트인캠)(22),diesel,12.2,15.5,,2151.0,2022
GV70 2.2디젤 2WD 18인치(22),diesel,12.4,15.5,,2151.0,2022
GV70 Electrified 19인치,electric,5.0,4.1,400.0,,2022
GV70 Electrified 20인치,electric,4.7,3.9,373.0,,2022
GV80 3.0디젤 AWD 5인 19인치(22),diesel,9.5,12.8,,2996.0,2022
GV80 3.0디젤 AWD 6인 19인치(22),diesel,9.5,12.8,,2996.0,2022
GV80 3.0디젤 AWD 7인 20인치(22),diesel,9.4,12.2,,2996.0,2022
GV80 3.0디젤 AWD 6인 22인치(22),diesel,9.2,12.0,,2996.0,2022
GV80 3.0디젤 AWD 6인 20인치(22),diesel,9.4,12.2,,2996.0,2022
GV80 3.0디젤 2WD 6인(22),diesel,9.9,12.9,,2996.0,2022
GV80 3.0디젤 AWD 7인 19인치(22),diesel,9.5,12.8,,2996.0,2022
GV80 3.0디젤 AWD 7인 22인치(22),diesel,9.2,12.0,,2996.0,2022
GV80 3.0디젤 AWD 5인 (20인치/22인치)(22),diesel,9.4,12.2,,2996.0,2022
GV80 3.0디젤 2WD 7인(22),diesel,9.9,12.9,,2996.0,2022
GV80 3.0디젤 2WD 5인 (20인치/22인치)(22),diesel,10.2,13.6,,2996.0,2022
GV80 3.0디젤 2WD 5인 19인치(22),diesel,10.4,13.7,,2996.0,2022
투싼 2.0디젤 AWD 8AT 19인치(22),diesel,11.4,13.8,,1998.0,2022
투싼 2.0디젤 2WD 8AT 19인치(22),diesel,12.5,15.7,,1998.0,2022
G90 e-S/C 3.5T-GDI 2WD 5인 20인치,gasoline,7.8,11.2,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(빌트인캠),gasoline,7.8,11.2,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 5인 21인치,gasoline,7.6,10.8,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 5인 20인치,gasoline,7.3,10.3,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 5인 21인치,gasoline,7.2,10.1,,3470.0,2023
G90 3.5T-GDI 2WD 5인 20인치,gasoline,7.7,10.8,,3470.0,2022
G90 3.5T-GDI AWD 5인 19인치,gasoline,7.4,10.3,,3470.0,2022
G90 3.5T-GDI AWD 5인 20인치,gasoline,7.2,10.1,,3470.0,2022
투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠)(22),diesel,11.4,13.8,,1998.0,2022
투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠) (22),diesel,11.6,14.5,,1998.0,2022
투싼 2.0디젤 AWD 8AT 17/18인치(22),diesel,11.7,14.6,,1998.0,2022
투싼 2.0디젤 2WD 8AT 19인치(빌트인캠)(22),diesel,12.5,15.7,,1998.0,2022
투싼 2.0디젤 2WD 8AT 18인치(빌트인캠)(22),diesel,12.6,16.3,,1998.0,2022
투싼 2.0디젤 2WD 8AT 18인치(22),diesel,12.8,16.3,,1998.0,2022
투싼 2.0디젤 2WD 8AT 17인치(22),diesel,13.0,16.8,,1998.0,2022
G90 e-S/C 3.5T-GDI 2WD 4인 20인치,gasoline,7.8,11.2,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(빌트인캠),gasoline,7.8,11.2,,3470.0,2023
G90 e-S/C 3.5T-GDI 2WD 4인 21인치,gasoline,7.6,10.8,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 4인 20인치,gasoline,7.3,10.3,,3470.0,2023
G90 e-S/C 3.5T-GDI AWD 4인 21인치,gasoline,7.2,10.1,,3470.0,2023
G90 3.5T-GDI 2WD 5인 19인치,gasoline,8.0,11.5,,3470.0,2022
G90 3.5T-GDI 2WD 5인 19인치(빌트인캠),gasoline,8.0,11.5,,3470.0,2022
G90 3.5T-GDI 2WD 4인 19인치,gasoline,7.8,11.1,,3470.0,2022
G90 3.5T-GDI 2WD 4인 20인치,gasoline,7.7,10.8,,3470.0,2022
G90 3.5T-GDI AWD 4인 19인치,gasoline,7.4,10.3,,3470.0,2022
G90 3.5T-GDI AWD 4인 20인치,gasoline,7.2,10.1,,3470.0,2022
"싼타페 1.6T-GDI HEV AWD 5인 19""타이어(22MY)",gasoline,13.8,12.3,,1598.0,2022
"싼타페 1.6T-GDI HEV AWD 6인 19""타이어(22MY)",gasoline,13.8,12.3,,1598.0,2022
"싼타페 1.6T-GDI HEV AWD 7인 19""타이어(22MY)",gasoline,13.8,12.3,,1598.0,2022
"싼타페 1.6T-GDI HEV AWD 5인 17""타이어(22MY)",gasoline,14.0,12.6,,1598.0,2022
"싼타페 1.6T-GDI HEV AWD 6인 17""타이어(22MY)",gasoline,14.0,12.6,,1598.0,2022
"싼타페 1.6T-GDI HEV AWD 7인 17""타이어(22MY)",gasoline,14.0,12.6,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 5인 19""타이어(22MY)",gasoline,15.2,13.3,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 6인 19""타이어(22MY)",gasoline,15.2,13.3,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 7인 19""타이어(22MY)",gasoline,15.2,13.3,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 5인 17""타이어(22MY)",gasoline,16.4,14.0,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 5인 17""(빌트인캠)(22MY)",gasoline,16.1,13.8,,1598.0,2022
"싼타페 1.6T-GD HEV 2WD 6인 17""(빌트인캠)(22MY)",gasoline,16.1,13.8,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 6인 17""타이어(22MY)",gasoline,16.4,14.0,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 7인 17""타이어(22MY)",gasoline,16.4,14.0,,1598.0,2022
"싼타페 1.6T-GDI HEV 2WD 7인 17""(빌트인캠)(22MY)",gasoline,16.1,13.8,,1598.0,2022
싼타페(개조) 2.5T-GDI AWD 6인 20인치(22MY),gasoline,8.6,10.9,,2497.0,2022
싼타페(개조) 2.5T-GDI AWD 6인 18인치(22MY),gasoline,8.9,11.4,,2497.0,2022
싼타페(개조) 2.5T-GDI 2WD 6인 20인치(22MY),gasoline,9.2,11.5,,2497.0,2022
싼타페(개조)2.5T-GDI 2WD 6인 18인치(빌트인캠)_22MY,gasoline,9.3,12.2,,2497.0,2022
싼타페(개조) 2.5T-GDI 2WD 6인 18인치(22MY),gasoline,9.4,12.2,,2497.0,2022
포터 2.5디젤 초장축 표준캡 MT(22),diesel,9.2,10.0,,2497.0,2022
포터 2.5디젤 초장축 표준캡 AT(22),diesel,8.5,9.3,,2497.0,2022
포터 2.5디젤 4X4장축 표준캡(22),diesel,8.6,9.6,,2497.0,2022
싼타페 2.2디젤 AWD 5인 20인치(22),diesel,11.7,14.4,,2151.0,2022
싼타페 2.2디젤 AWD 6인 20인치(22),diesel,11.7,14.4,,2151.0,2022
싼타페 2.2디젤 AWD 5인 18인치(빌트인캠)(22),diesel,11.8,15.2,,2151.0,2022
싼타페 2.2디젤 AWD 6인 18인치(22),diesel,11.8,15.2,,2151.0,2022
싼타페 2.2디젤 2WD 5인 20인치(22),diesel,12.5,15.3,,2151.0,2022
싼타페 2.2디젤 2WD 6인 20인치(22),diesel,12.5,15.3,,2151.0,2022
싼타페 2.2디젤 2WD 5인 18인치(빌트인캠)(22),diesel,12.7,15.8,,2151.0,2022
싼타페 2.2디젤 2WD 6인 18인치(빌트인캠)(22),diesel,12.7,15.8,,2151.0,2022
싼타페 2.2디젤 2WD 5인 18인치(22),diesel,12.8,16.0,,2151.0,2022
싼타페 2.2디젤 2WD 6인 18인치(22),diesel,12.8,16.0,,2151.0,2022
싼타페 2.2디젤 AWD 7인 20인치(22),diesel,11.7,14.4,,2151.0,2022
싼타페 2.2디젤 AWD 7인 18인치(22),diesel,11.8,15.2,,2151.0,2022
싼타페 2.2디젤 AWD 5인 18인치(22),diesel,12.3,15.4,,2151.0,2022
싼타페 2.2디젤 2WD 7인 20인치(22),diesel,12.5,15.3,,2151.0,2022
싼타페 2.2디젤 2WD 7인 18인치(빌트인캠)(22),diesel,12.7,15.8,,2151.0,2022
싼타페 2.2디젤 2WD 7인 18인치(22),diesel,12.8,16.0,,2151.0,2022
포터 2.5디젤 초장축 슈퍼캡 MT(22),diesel,9.2,10.0,,2497.0,2022
포터 2.5디젤 초장축 더블캡 MT(22),diesel,8.9,9.9,,2497.0,2022
포터 2.5디젤 초장축 슈퍼캡 AT(22),diesel,8.5,9.3,,2497.0,2022
포터 2.5디젤 초장축 더블캡 AT(22),diesel,8.2,9.4,,2497.0,2022
포터 2.5디젤 4X4장축 슈퍼캡(22),diesel,8.6,9.6,,2497.0,2022
포터 2.5디젤 4X4장축 더블캡(22),diesel,8.2,9.1,,2497.0,2022
포터 일렉트릭 22MY,electric,3.6,2.7,211.0,,2022
스타리아 어린이통학차 2.2디젤 4WD 11인 (17인치),diesel,8.7,10.3,,2199.0,2021
스타리아 어린이통학차 2.2디젤 4WD 11인 (18인치),diesel,8.7,10.3,,2199.0,2021
GV60 4WD 무선충전,electric,4.4,3.8,361.0,,2021
GV60 성능형 4WD 무선충전,electric,4.2,3.7,350.0,,2021
스타리아 라운지 리무진 2.2디젤 2WD 7인,diesel,8.9,11.7,,2199.0,2021
스타리아 라운지 리무진 2.2디젤 4WD 7인,diesel,8.4,10.9,,2199.0,2021
스타리아 어린이통학차 2.2디젤 2WD 11인,diesel,9.2,11.4,,2199.0,2021
스타리아 어린이통학차 2.2디젤 2WD 14인,diesel,9.2,11.4,,2199.0,2021
스타리아 라운지 리무진 2.2디젤 2WD 9인,diesel,8.9,11.7,,2199.0,2021
스타리아 라운지 리무진 2.2디젤 4WD 9인,diesel,8.4,10.9,,2199.0,2021
GV80(22MY) 3.0디젤 AWD 5인 19인치타이어,diesel,9.8,12.6,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 6인 19인치타이어,diesel,9.8,12.6,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 7인 19인치타이어,diesel,9.8,12.6,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 6인 22인치 타이어,diesel,9.4,11.7,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 7인 22인치 타이어,diesel,9.4,11.7,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 6인 20인치타이어,diesel,9.7,11.9,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 7인 20인치타이어,diesel,9.7,11.9,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 5인 20인치타이어,diesel,9.7,11.9,,2996.0,2021
GV80(22MY) 3.0디젤 AWD 5인 22인치타이어,diesel,9.7,11.9,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 5인 19인치 타이어,diesel,10.5,13.7,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 5인 20인치 타이어,diesel,10.4,13.3,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 5인 22인치 타이어,diesel,10.4,13.3,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 6인 19인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 6인 20인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 6인 22인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 7인 19인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 7인 20인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 3.0디젤 2WD 7인 22인치 타이어,diesel,10.1,12.8,,2996.0,2021
GV80(22MY) 2.5T-GDI AWD 5인 20인치타이어,gasoline,7.8,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 5인 22인치타이어,gasoline,7.8,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 5인 19인치타이어(빌트인캠),gasoline,7.9,10.0,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 6인 19인치타이어(빌트인캠),gasoline,7.9,10.0,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 7인 19인치타이어(빌트인캠),gasoline,7.9,10.0,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 5인 19인치타이어,gasoline,8.0,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 6인 19인치타이어,gasoline,8.0,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 7인 19인치타이어,gasoline,8.0,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 6인 20인치타이어,gasoline,7.6,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 6인 22인치타이어,gasoline,7.6,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 7인 20인치타이어,gasoline,7.6,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI AWD 7인 22인치타이어,gasoline,7.6,9.8,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 5인승 19인치 타이어,gasoline,8.7,11.1,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 5인 19인치타이어(빌트인캠),gasoline,8.5,10.9,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 6인 19인치타이어,gasoline,8.4,10.7,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 7인 19인치타이어,gasoline,8.4,10.7,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 5인 20인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 5인 22인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 6인 20인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 6인 22인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 7인 20인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 2.5T-GDI 2WD 7인 22인치타이어,gasoline,8.2,10.4,,2497.0,2021
GV80(22MY) 3.5T-GDI AWD 5인 20인치타이어(빌트인캠),gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 5인 22인치타이어,gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 6인 20인치타이어,gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 6인 22인치타이어,gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 7인 20인치타이어,gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 7인 22인치타이어,gasoline,6.9,9.1,,3470.0,2021
GV80(22MY) 3.5T-GDI AWD 5인 20인치타이어,gasoline,7.1,9.3,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 5인 20인치타이어,gasoline,7.7,10.1,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 5인 20인치타이어(빌트인캠),gasoline,7.4,9.9,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 6인 20인치타이어,gasoline,7.4,9.9,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 7인 20인치타이어,gasoline,7.4,9.9,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 5인 22인치타이어,gasoline,7.4,9.9,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 6인 22인치타이어,gasoline,7.3,9.6,,3470.0,2021
GV80(22MY) 3.5T-GDI 2WD 7인 22인치타이어,gasoline,7.3,9.6,,3470.0,2021
쏘나타(DN8) 2.0CVVL 17인치 non-ISG,gasoline,10.9,14.9,,1999.0,2021
GV60 4WD 19인치,electric,4.8,4.1,400.0,,2021
GV60 4WD 20인치,electric,4.6,4.0,380.0,,2021
캐스퍼 1.0 가솔린 15인치타이어,gasoline,13.4,15.5,,998.0,2021
캐스퍼 1.0 가솔린 17인치타이어,gasoline,13.0,14.8,,998.0,2021
GV60 성능형 4WD 21인치,electric,4.3,3.8,368.0,,2021
캐스퍼 1.0T-GDI 4AT 15인치,gasoline,11.3,15.2,,998.0,2021
캐스퍼 1.0T-GDI 4AT 17인치,gasoline,11.0,14.2,,998.0,2021
GV60 RWD 19인치,electric,5.7,4.5,451.0,,2021
아이오닉5 기본형 RWD 19인치,electric,5.8,4.5,336.0,,2021
아반떼 N 2.0 T-GDI 6MT 19인치,gasoline,9.6,12.3,,1998.0,2021
아반떼 N 2.0 T-GDI 8DCT 19인치,gasoline,9.0,12.7,,1998.0,2021
투싼 1.6T-GDI 하이브리드 6AT 19인치,gasoline,16.7,14.8,,1598.0,2021
투싼 1.6T-GDI 하이브리드 6AT 19인치 (빌트인캠),gasoline,16.0,14.5,,1598.0,2021
G80 2.2디젤 AWD 19인치 (SP),diesel,11.2,15.1,,2151.0,2021
G80 2.2디젤 2WD 19인치 (SP),diesel,12.1,16.9,,2151.0,2021
