model,fuel_type,city_efficiency,highway_efficiency,electric_range,displacement,year
"스타리아(US4) 하이브리드 1.6T-GDI 11인 17""",gasoline,13.1,12.0,,1598.0,2024
"스타리아(US4) 밴 하이브리드 1.6T-GDI 3인 17""",gasoline,13.9,12.0,,1598.0,2024
"스타리아(US4) 하이브리드 1.6T-GDI 9인 17"" (nC)",gasoline,13.5,11.6,,1598.0,2024
"스타리아(US4) 하이브리드 1.6T-GDI 9인 18"" (nC)",gasoline,13.5,11.6,,1598.0,2024
"스타리아(US4)라운지 하이브리드1.6T-GDI 7인 18""(nC)",gasoline,13.5,11.6,,1598.0,2024
"스타리아(US4) 하이브리드 1.6T-GDI 9인 17"" (C)",gasoline,13.1,11.6,,1598.0,2024
"스타리아(US4) 하이브리드 1.6T-GDI 9인 18"" (C)",gasoline,13.1,11.6,,1598.0,2024
"스타리아(US4)라운지 하이브리드1.6T-GDI 7인 18""(C)",gasoline,13.1,11.6,,1598.0,2024
"스타리아(US4) 하이브리드 1.6T-GDI 11인 18""",gasoline,13.1,12.0,,1598.0,2024
"스타리아(US4) 밴 하이브리드 1.6T-GDI 5인 17""",gasoline,13.9,12.0,,1598.0,2024
"스타리아(US4)라운지 하이브리드1.6T-GDI 9인 18""(nC)",gasoline,13.5,11.6,,1598.0,2024
"스타리아(US4)라운지 하이브리드1.6T-GDI 9인 18""(C)",gasoline,13.1,11.6,,1598.0,2024
"G80(PE) 2.5T-GDI RWD 20""(올시즌)",gasoline,8.6,12.5,,2497.0,2024
"G80(PE) 2.5T-GDI RWD 20""(썸머)",gasoline,8.4,12.5,,2497.0,2024
"G80(PE) 2.5T-GDI RWD 19""",gasoline,8.8,13.2,,2497.0,2024
"G80(PE) 2.5T-GDI RWD 18"" (nC)",gasoline,9.0,13.5,,2497.0,2024
"G80(PE) 2.5T-GDI RWD 18"" (C)",gasoline,9.0,13.4,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 20""(올시즌)",gasoline,8.1,12.0,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 20""(썸머)",gasoline,8.0,12.0,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 19""",gasoline,8.3,12.0,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 18"" (nC)",gasoline,8.5,12.5,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 18"" (C)",gasoline,8.3,12.0,,2497.0,2024
G80(PE) 3.5T-GDI RWD 20“(올시즌),gasoline,7.6,11.0,,3470.0,2024
G80(PE) 3.5T-GDI RWD 20“(썸머),gasoline,7.4,11.0,,3470.0,2024
"G80(PE) 3.5T-GDI RWD 19""",gasoline,7.6,11.7,,3470.0,2024
G80(PE) 3.5T-GDI AWD 20“(올시즌),gasoline,7.1,10.2,,3470.0,2024
G80(PE) 3.5T-GDI AWD 20“(썸머),gasoline,7.1,10.2,,3470.0,2024
"G80(PE) 3.5T-GDI AWD 19""",gasoline,7.2,10.1,,3470.0,2024
코나 일렉트릭(N-Line) 19인치,electric,5.1,4.3,364.0,,2024
GV80 e-S/C 3.5T-GDI 20인치(nC),gasoline,7.4,9.8,,3470.0,2024
GV80 e-S/C 3.5T-GDI 20인치(C),gasoline,7.3,9.6,,3470.0,2024
GV80 e-S/C 3.5T-GDI 22인치,gasoline,7.3,9.3,,3470.0,2024
"투싼 개조 2.0 디젤 8AT AWD 17""",diesel,11.4,14.4,,1998.0,2024
"투싼 개조 2.0 디젤 8AT AWD 18""",diesel,11.7,14.6,,1998.0,2024
"투싼 개조 2.0 디젤 8AT AWD 19""",diesel,11.2,14.1,,1998.0,2024
"투싼 개조 2.0 디젤 8AT 2WD 17""",diesel,12.7,16.7,,1998.0,2024
"투싼 개조 2.0 디젤 8AT 2WD 18"" (nC)",diesel,12.7,16.8,,1998.0,2024
"투싼 개조 2.0 디젤 8AT 2WD 18"" (C)",diesel,12.4,16.7,,1998.0,2024
"투싼 개조 2.0 디젤 8AT 2WD 19""",diesel,12.3,16.4,,1998.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 17""",gasoline,14.7,14.6,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 17"" (nC)",gasoline,17.0,15.2,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 17"" (C)",gasoline,16.1,15.1,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 18""",gasoline,14.7,14.6,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 19""",gasoline,14.4,14.1,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 18"" (nC)",gasoline,17.0,15.2,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 18"" (C)",gasoline,16.1,15.1,,1598.0,2024
"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 19""",gasoline,15.1,14.5,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT AWD 17""",gasoline,10.7,12.8,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT AWD 18""",gasoline,10.2,12.9,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT AWD 19""",gasoline,10.1,12.7,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT 2WD 17""",gasoline,11.5,13.9,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT 2WD 18"" (nC)",gasoline,11.5,13.8,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT 2WD 18"" (C)",gasoline,11.3,13.7,,1598.0,2024
"투싼 개조 1.6T-GDI 7DCT 2WD 19""",gasoline,10.9,13.6,,1598.0,2024
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 장착",gasoline,6.8,9.2,,3470.0,2023
"GV80 개조 3.5T AWD 20"" 6/7인",gasoline,6.8,9.2,,3470.0,2023
GV80 개조 3.5T AWD 쿠페,gasoline,6.8,9.3,,3470.0,2023
"GV80 개조 3.5T AWD 22""",gasoline,6.8,9.2,,3470.0,2023
